#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
42423446	Gohir.1Z049314	Gohir.1Z049314.1	Gohir.1Z049314.1.p		PTHR31723,PTHR31723:SF1					AT1G78780.2		pathogenesis-related family protein
42423447	Gohir.1Z049314	Gohir.1Z049314.2	Gohir.1Z049314.2.p		PTHR31723,PTHR31723:SF1					AT1G78780.2		pathogenesis-related family protein
42416752	Gohir.1Z049315	Gohir.1Z049315.1	Gohir.1Z049315.1.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416761	Gohir.1Z049315	Gohir.1Z049315.10	Gohir.1Z049315.10.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416762	Gohir.1Z049315	Gohir.1Z049315.11	Gohir.1Z049315.11.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416763	Gohir.1Z049315	Gohir.1Z049315.12	Gohir.1Z049315.12.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416764	Gohir.1Z049315	Gohir.1Z049315.13	Gohir.1Z049315.13.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416765	Gohir.1Z049315	Gohir.1Z049315.14	Gohir.1Z049315.14.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416766	Gohir.1Z049315	Gohir.1Z049315.15	Gohir.1Z049315.15.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416767	Gohir.1Z049315	Gohir.1Z049315.16	Gohir.1Z049315.16.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416753	Gohir.1Z049315	Gohir.1Z049315.2	Gohir.1Z049315.2.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416754	Gohir.1Z049315	Gohir.1Z049315.3	Gohir.1Z049315.3.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416755	Gohir.1Z049315	Gohir.1Z049315.4	Gohir.1Z049315.4.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416756	Gohir.1Z049315	Gohir.1Z049315.5	Gohir.1Z049315.5.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416757	Gohir.1Z049315	Gohir.1Z049315.6	Gohir.1Z049315.6.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416758	Gohir.1Z049315	Gohir.1Z049315.7	Gohir.1Z049315.7.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416759	Gohir.1Z049315	Gohir.1Z049315.8	Gohir.1Z049315.8.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42416760	Gohir.1Z049315	Gohir.1Z049315.9	Gohir.1Z049315.9.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42433916	Gohir.1Z049316	Gohir.1Z049316.1	Gohir.1Z049316.1.p	PF01408	PTHR22604,PTHR22604:SF132	KOG2741			GO:0016491	AT4G09670.1		Oxidoreductase family protein
42364406	Gohir.1Z049317	Gohir.1Z049317.1	Gohir.1Z049317.1.p	PF00441,PF01756,PF02770	PTHR10909,PTHR10909:SF317		1.3.3.6		GO:0055114,GO:0016627,GO:0006635,GO:0005777,GO:0003997,GO:0003995	AT5G65110.1	ACX2,ATACX2	acyl-CoA oxidase 2
42364407	Gohir.1Z049317	Gohir.1Z049317.2	Gohir.1Z049317.2.p	PF01756,PF00441,PF02770	PTHR10909,PTHR10909:SF317		1.3.3.6		GO:0055114,GO:0006635,GO:0005777,GO:0003997,GO:0016627,GO:0003995	AT5G65110.1	ACX2,ATACX2	acyl-CoA oxidase 2
42471600	Gohir.1Z049318	Gohir.1Z049318.1	Gohir.1Z049318.1.p	PF03367	PTHR10876,PTHR10876:SF0				GO:0008270	AT5G37340.2		ZPR1 zinc-finger domain protein
42402241	Gohir.1Z049319	Gohir.1Z049319.1	Gohir.1Z049319.1.p	PF00326,PF00930	PTHR11731,PTHR11731:SF110		3.4.14.5	K01278	GO:0008236,GO:0006508	AT5G24260.1		prolyl oligopeptidase family protein
42464358	Gohir.1Z049320	Gohir.1Z049320.1	Gohir.1Z049320.1.p		PTHR31945,PTHR31945:SF21					AT2G40435.1		
42416703	Gohir.1Z049321	Gohir.1Z049321.1	Gohir.1Z049321.1.p	PF01852	PTHR24326,PTHR24326:SF189				GO:0008289	AT4G21750.1	ATML1	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
42393235	Gohir.1Z049322	Gohir.1Z049322.1	Gohir.1Z049322.1.p	PF03372	PTHR19446,PTHR19446:SF340							
42416707	Gohir.1Z049323	Gohir.1Z049323.1	Gohir.1Z049323.1.p	PF01477,PF00305	PTHR11771,PTHR11771:SF60		1.13.11.12		GO:0005515,GO:0055114,GO:0046872,GO:0016702	AT1G67560.1		PLAT/LH2 domain-containing lipoxygenase family protein
42433921	Gohir.1Z049324	Gohir.1Z049324.1	Gohir.1Z049324.1.p	PF00466	PTHR21141,PTHR21141:SF3				GO:0042254,GO:0005622	AT2G40010.1		Ribosomal protein L10 family protein
42367970	Gohir.1Z049325	Gohir.1Z049325.1	Gohir.1Z049325.1.p	PF02519	PTHR31374,PTHR31374:SF46				GO:0009733	AT3G12955.1		SAUR-like auxin-responsive protein family 
42379923	Gohir.1Z049326	Gohir.1Z049326.1	Gohir.1Z049326.1.p	PF08159	PTHR12202,PTHR12202:SF0	KOG2318			GO:0005634	AT3G01160.1		
42427526	Gohir.1Z049327	Gohir.1Z049327.1	Gohir.1Z049327.1.p	PF00560,PF08263,PF13855	PTHR27000		2.7.11.1		GO:0005515	AT3G49670.1	BAM2	Leucine-rich receptor-like protein kinase family protein
42471566	Gohir.1Z049328	Gohir.1Z049328.1	Gohir.1Z049328.1.p							AT3G05200.1	ATL6	RING/U-box superfamily protein
42413805	Gohir.1Z049329	Gohir.1Z049329.1	Gohir.1Z049329.1.p	PF00412	PTHR24206,PTHR24206:SF22	KOG1700			GO:0008270	AT3G61230.1		GATA type zinc finger transcription factor family protein
42396957	Gohir.1Z049330	Gohir.1Z049330.1	Gohir.1Z049330.1.p	PF01408	PTHR22604,PTHR22604:SF132	KOG2741			GO:0016491	AT4G09670.1		Oxidoreductase family protein
42393205	Gohir.1Z049331	Gohir.1Z049331.1	Gohir.1Z049331.1.p									
42375548	Gohir.1Z049332	Gohir.1Z049332.1	Gohir.1Z049332.1.p		PTHR35631,PTHR35631:SF1							
42379913	Gohir.1Z049333	Gohir.1Z049333.1	Gohir.1Z049333.1.p									
42379914	Gohir.1Z049333	Gohir.1Z049333.2	Gohir.1Z049333.2.p									
42471612	Gohir.1Z049334	Gohir.1Z049334.1	Gohir.1Z049334.1.p	PF01541	PTHR20208,PTHR20208:SF10	KOG3005				AT2G30350.2		Excinuclease ABC, C subunit, N-terminal
42433924	Gohir.1Z049335	Gohir.1Z049335.1	Gohir.1Z049335.1.p	PF05617	PTHR31207,PTHR31207:SF19					AT5G34885.1		Protein of unknown function (DUF784)
42430076	Gohir.1Z049336	Gohir.1Z049336.1	Gohir.1Z049336.1.p									
42455869	Gohir.1Z049337	Gohir.1Z049337.1	Gohir.1Z049337.1.p	PF00378	PTHR11941,PTHR11941:SF84				GO:0008152,GO:0003824	AT4G14440.1	ATECI3,ECI3,HCD1	3-hydroxyacyl-CoA dehydratase 1
42416721	Gohir.1Z049338	Gohir.1Z049338.1	Gohir.1Z049338.1.p	PF02458	PTHR31642,PTHR31642:SF9		2.3.1.196		GO:0016747	AT5G17540.1		HXXXD-type acyl-transferase family protein
42471580	Gohir.1Z049339	Gohir.1Z049339.1	Gohir.1Z049339.1.p									
42379912	Gohir.1Z049340	Gohir.1Z049340.1	Gohir.1Z049340.1.p		PTHR36064					AT5G06240.1	emb2735	embryo defective 2735
42430071	Gohir.1Z049341	Gohir.1Z049341.1	Gohir.1Z049341.1.p	PF00954,PF01453,PF00069	PTHR27002,PTHR27002:SF17	KOG1187	2.7.11.1		GO:0048544,GO:0006468,GO:0005524,GO:0004672	AT4G00340.1	RLK4	receptor-like protein kinase 4
42433918	Gohir.1Z049342	Gohir.1Z049342.1	Gohir.1Z049342.1.p	PF01095	PTHR31321,PTHR31321:SF23		3.1.1.11		GO:0042545,GO:0030599,GO:0005618	AT5G07410.1		Pectin lyase-like superfamily protein
42406453	Gohir.1Z049343	Gohir.1Z049343.1	Gohir.1Z049343.1.p		PTHR24326,PTHR24326:SF189					AT1G05230.1	HDG2	homeodomain GLABROUS 2
42471601	Gohir.1Z049344	Gohir.1Z049344.1	Gohir.1Z049344.1.p		PTHR21704,PTHR21704:SF18					AT5G15540.2	ATSCC2,EMB2773,SCC2	PHD finger family protein
42367981	Gohir.1Z049345	Gohir.1Z049345.1	Gohir.1Z049345.1.p		PTHR21319,PTHR21319:SF17					AT1G74770.1		zinc ion binding
42464354	Gohir.1Z049346	Gohir.1Z049346.1	Gohir.1Z049346.1.p	PF03171	PTHR10209,PTHR10209:SF122		1.14.11.20		GO:0055114,GO:0016491	AT2G30840.1		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
42427543	Gohir.1Z049347	Gohir.1Z049347.1	Gohir.1Z049347.1.p		PTHR22937,PTHR22937:SF53					AT5G24870.1		RING/U-box superfamily protein
42423412	Gohir.1Z049348	Gohir.1Z049348.1	Gohir.1Z049348.1.p	PF00270,PF00271,PF07717,PF04408	PTHR18934,PTHR18934:SF131		3.6.4.13		GO:0005524,GO:0003676,GO:0004386	AT1G27900.1		RNA helicase family protein
42379919	Gohir.1Z049349	Gohir.1Z049349.1	Gohir.1Z049349.1.p	PF03372	PTHR19446,PTHR19446:SF340					AT1G43760.1		DNAse I-like superfamily protein
42375549	Gohir.1Z049350	Gohir.1Z049350.1	Gohir.1Z049350.1.p	PF03372	PTHR19446,PTHR19446:SF340							
42423435	Gohir.1Z049351	Gohir.1Z049351.1	Gohir.1Z049351.1.p	PF02140	PTHR23421,PTHR23421:SF49		3.2.1.23		GO:0030246,GO:0005975,GO:0004553	AT5G20710.1	BGAL7	beta-galactosidase 7
42471567	Gohir.1Z049352	Gohir.1Z049352.1	Gohir.1Z049352.1.p	PF01502	PTHR21256,PTHR21256:SF3		3.6.1.31,3.5.4.19		GO:0004635,GO:0000105	AT1G31860.1	AT-IE,HISN2	histidine biosynthesis bifunctional protein (HISIE)
42471568	Gohir.1Z049352	Gohir.1Z049352.2	Gohir.1Z049352.2.p	PF01502	PTHR21256,PTHR21256:SF3		3.6.1.31,3.5.4.19		GO:0004635,GO:0000105	AT1G31860.1	AT-IE,HISN2	histidine biosynthesis bifunctional protein (HISIE)
42471569	Gohir.1Z049352	Gohir.1Z049352.3	Gohir.1Z049352.3.p	PF01502	PTHR21256,PTHR21256:SF3		3.6.1.31,3.5.4.19		GO:0004635,GO:0000105	AT1G31860.1	AT-IE,HISN2	histidine biosynthesis bifunctional protein (HISIE)
42471570	Gohir.1Z049352	Gohir.1Z049352.4	Gohir.1Z049352.4.p	PF01502	PTHR21256,PTHR21256:SF3		3.6.1.31,3.5.4.19		GO:0004635,GO:0000105	AT1G31860.1	AT-IE,HISN2	histidine biosynthesis bifunctional protein (HISIE)
42393200	Gohir.1Z049353	Gohir.1Z049353.1	Gohir.1Z049353.1.p									
42437612	Gohir.1Z049354	Gohir.1Z049354.1	Gohir.1Z049354.1.p	PF00082	PTHR10795,PTHR10795:SF439		3.4.14.10		GO:0006508,GO:0004252	AT4G20430.1		Subtilase family protein
42437613	Gohir.1Z049354	Gohir.1Z049354.2	Gohir.1Z049354.2.p	PF00082	PTHR10795,PTHR10795:SF439		3.4.14.10		GO:0006508,GO:0004252	AT4G20430.1		Subtilase family protein
42364415	Gohir.1Z049355	Gohir.1Z049355.1	Gohir.1Z049355.1.p							AT1G43245.1		SET domain-containing protein
42393197	Gohir.1Z049356	Gohir.1Z049356.1	Gohir.1Z049356.1.p	PF00612,PF01843	PTHR13140,PTHR13140:SF391				GO:0005515	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	myosin XI B
42393198	Gohir.1Z049356	Gohir.1Z049356.2	Gohir.1Z049356.2.p	PF00612,PF01843	PTHR13140,PTHR13140:SF391				GO:0005515	AT4G28710.1	ATXIH,XIH	Myosin family protein with Dil domain
42427507	Gohir.1Z049357	Gohir.1Z049357.1	Gohir.1Z049357.1.p									
42393255	Gohir.1Z049358	Gohir.1Z049358.1	Gohir.1Z049358.1.p	PF00412	PTHR24206,PTHR24206:SF22	KOG1700			GO:0008270	AT3G61230.1		GATA type zinc finger transcription factor family protein
42449386	Gohir.1Z049359	Gohir.1Z049359.1	Gohir.1Z049359.1.p		PTHR33191,PTHR33191:SF8							
42427548	Gohir.1Z049360	Gohir.1Z049360.1	Gohir.1Z049360.1.p	PF11955	PTHR31476,PTHR31476:SF9					AT4G33495.1	RPD1	Ubiquitin carboxyl-terminal hydrolase family protein
42423442	Gohir.1Z049361	Gohir.1Z049361.1	Gohir.1Z049361.1.p	PF03098	PTHR11903,PTHR11903:SF14	KOG2408		K10529		AT3G01420.1	ALPHA-DOX1,DIOX1,DOX1,PADOX-1	Peroxidase superfamily protein
42471574	Gohir.1Z049362	Gohir.1Z049362.1	Gohir.1Z049362.1.p									
42379935	Gohir.1Z049363	Gohir.1Z049363.1	Gohir.1Z049363.1.p	PF00400	PTHR22847	KOG0316,KOG0265		K10143	GO:0005515	AT5G23730.1		Transducin/WD40 repeat-like superfamily protein
42367974	Gohir.1Z049364	Gohir.1Z049364.1	Gohir.1Z049364.1.p		PTHR33191,PTHR33191:SF8							
42427505	Gohir.1Z049365	Gohir.1Z049365.1	Gohir.1Z049365.1.p		PTHR14942					AT3G07860.1		Ubiquitin-like superfamily protein
42471583	Gohir.1Z049366	Gohir.1Z049366.1	Gohir.1Z049366.1.p	PF00237	PTHR13501,PTHR13501:SF0			K02890	GO:0006412,GO:0005840,GO:0003735,GO:0015934	ATCG00810.1		ribosomal protein L22
42367959	Gohir.1Z049367	Gohir.1Z049367.1	Gohir.1Z049367.1.p									
42379920	Gohir.1Z049368	Gohir.1Z049368.1	Gohir.1Z049368.1.p	PF05678	PTHR33143,PTHR33143:SF12					AT3G58000.1		VQ motif-containing protein
42416704	Gohir.1Z049369	Gohir.1Z049369.1	Gohir.1Z049369.1.p	PF02271	PTHR12022,PTHR12022:SF0	KOG3440			GO:0006122,GO:0005750	AT5G25450.1		Cytochrome bd ubiquinol oxidase, 14kDa subunit
42416705	Gohir.1Z049369	Gohir.1Z049369.2	Gohir.1Z049369.2.p	PF02271	PTHR12022	KOG3440			GO:0006122,GO:0005750	AT5G25450.1		Cytochrome bd ubiquinol oxidase, 14kDa subunit
42416706	Gohir.1Z049369	Gohir.1Z049369.3	Gohir.1Z049369.3.p	PF02271	PTHR12022	KOG3440			GO:0006122,GO:0005750	AT5G25450.1		Cytochrome bd ubiquinol oxidase, 14kDa subunit
42402240	Gohir.1Z049370	Gohir.1Z049370.1	Gohir.1Z049370.1.p	PF00069,PF00139	PTHR27007,PTHR27007:SF55	KOG1187	2.7.11.1		GO:0006468,GO:0005524,GO:0004672,GO:0030246	AT5G10530.1		Concanavalin A-like lectin protein kinase family protein
42423428	Gohir.1Z049371	Gohir.1Z049371.1	Gohir.1Z049371.1.p		PTHR36030,PTHR36030:SF1					AT3G01960.1		
42427536	Gohir.1Z049372	Gohir.1Z049372.1	Gohir.1Z049372.1.p	PF10075	PTHR12387	KOG3151		K03031	GO:0006508,GO:0005838	AT1G64520.1	RPN12a	regulatory particle non-ATPase 12A
42471579	Gohir.1Z049373	Gohir.1Z049373.1	Gohir.1Z049373.1.p	PF00657	PTHR22835,PTHR22835:SF259		3.1.1.3		GO:0016788	AT5G33370.1		GDSL-like Lipase/Acylhydrolase superfamily protein
42427550	Gohir.1Z049374	Gohir.1Z049374.1	Gohir.1Z049374.1.p	PF05057	PTHR12482,PTHR12482:SF17	KOG4372				AT4G25770.2		alpha/beta-Hydrolases superfamily protein
42427551	Gohir.1Z049374	Gohir.1Z049374.2	Gohir.1Z049374.2.p	PF05057	PTHR12482,PTHR12482:SF17					AT4G25770.2		alpha/beta-Hydrolases superfamily protein
42427552	Gohir.1Z049374	Gohir.1Z049374.3	Gohir.1Z049374.3.p	PF05057	PTHR12482,PTHR12482:SF17					AT4G25770.2		alpha/beta-Hydrolases superfamily protein
42393214	Gohir.1Z049375	Gohir.1Z049375.1	Gohir.1Z049375.1.p	PF00484	PTHR11002,PTHR11002:SF15	KOG1578	4.2.1.1		GO:0008270,GO:0004089	AT5G14740.1	BETA CA2,CA18,CA2	carbonic anhydrase 2
42393215	Gohir.1Z049375	Gohir.1Z049375.2	Gohir.1Z049375.2.p	PF00484	PTHR11002,PTHR11002:SF15	KOG1578	4.2.1.1		GO:0008270,GO:0004089	AT5G14740.1	BETA CA2,CA18,CA2	carbonic anhydrase 2
42423448	Gohir.1Z049376	Gohir.1Z049376.1	Gohir.1Z049376.1.p									
42471561	Gohir.1Z049377	Gohir.1Z049377.1	Gohir.1Z049377.1.p	PF05498								
42423427	Gohir.1Z049378	Gohir.1Z049378.1	Gohir.1Z049378.1.p		PTHR36367,PTHR36367:SF1					AT3G25805.1		
42423415	Gohir.1Z049379	Gohir.1Z049379.1	Gohir.1Z049379.1.p									
42416728	Gohir.1Z049380	Gohir.1Z049380.1	Gohir.1Z049380.1.p	PF02532	PTHR35772,PTHR35772:SF1		1.10.3.9	K02710	GO:0016020,GO:0015979,GO:0009539,GO:0009523	ATCG00080.1		photosystem II reaction center protein I
42423421	Gohir.1Z049381	Gohir.1Z049381.1	Gohir.1Z049381.1.p	PF03171	PTHR10869,PTHR10869:SF42		1.14.11.2		GO:0055114,GO:0016491	AT2G43080.1	AT-P4H-1	P4H isoform 1
42464347	Gohir.1Z049382	Gohir.1Z049382.1	Gohir.1Z049382.1.p									
42364418	Gohir.1Z049383	Gohir.1Z049383.1	Gohir.1Z049383.1.p		PTHR12691,PTHR12691:SF10	KOG3366				AT3G52300.1	ATPQ	ATP synthase D chain, mitochondrial
42423425	Gohir.1Z049384	Gohir.1Z049384.1	Gohir.1Z049384.1.p	PF11961,PF05003	PTHR31371,PTHR31371:SF2					AT3G23160.1		Protein of unknown function (DUF668)
42393220	Gohir.1Z049385	Gohir.1Z049385.1	Gohir.1Z049385.1.p							AT4G29090.1		Ribonuclease H-like superfamily protein
42449392	Gohir.1Z049386	Gohir.1Z049386.1	Gohir.1Z049386.1.p	PF08477	PTHR24073,PTHR24073:SF501	KOG0092			GO:0007264,GO:0005525	AT4G19640.1	ARA-7,ARA7,ATRAB-F2B,ATRAB5B,ATRABF2B,RAB-F2B,RABF2B	Ras-related small GTP-binding family protein
42464350	Gohir.1Z049387	Gohir.1Z049387.1	Gohir.1Z049387.1.p	PF03372	PTHR31696,PTHR31696:SF6					AT1G43760.1		DNAse I-like superfamily protein
42416710	Gohir.1Z049388	Gohir.1Z049388.1	Gohir.1Z049388.1.p	PF04043	PTHR31890				GO:0004857	AT5G50030.1		Plant invertase/pectin methylesterase inhibitor superfamily protein
42427510	Gohir.1Z049389	Gohir.1Z049389.1	Gohir.1Z049389.1.p							AT3G56490.1	HINT1,HIT3	HIS triad family protein 3
42375527	Gohir.1Z049390	Gohir.1Z049390.1	Gohir.1Z049390.1.p	PF14538	PTHR12848				GO:0031931,GO:0031929	AT3G08850.1	ATRAPTOR1B,RAPTOR1,RAPTOR1B	HEAT repeat ;WD domain, G-beta repeat protein protein
42423449	Gohir.1Z049391	Gohir.1Z049391.1	Gohir.1Z049391.1.p		PTHR33210,PTHR33210:SF2					AT2G16630.1		Pollen Ole e 1 allergen and extensin family protein
42393230	Gohir.1Z049392	Gohir.1Z049392.1	Gohir.1Z049392.1.p									
42393211	Gohir.1Z049393	Gohir.1Z049393.1	Gohir.1Z049393.1.p	PF03372	PTHR19446,PTHR19446:SF340							
42364410	Gohir.1Z049394	Gohir.1Z049394.1	Gohir.1Z049394.1.p									
42442070	Gohir.1Z049395	Gohir.1Z049395.1	Gohir.1Z049395.1.p	PF08477	PTHR24073,PTHR24073:SF536				GO:0007264,GO:0005525	AT1G43890.1	ATRAB-C1,ATRAB18,ATRABC1,RAB18,RAB18-1,RABC1	RAB GTPASE HOMOLOG B18
42471618	Gohir.1Z049396	Gohir.1Z049396.1	Gohir.1Z049396.1.p	PF03107,PF07649	PTHR32410,PTHR32410:SF152				GO:0055114,GO:0047134	AT5G22355.1		Cysteine/Histidine-rich C1 domain family protein
42423423	Gohir.1Z049397	Gohir.1Z049397.1	Gohir.1Z049397.1.p	PF04061	PTHR12665,PTHR12665:SF14	KOG3319			GO:0016021,GO:0005789	AT1G01230.1		ORMDL family protein
42364414	Gohir.1Z049398	Gohir.1Z049398.1	Gohir.1Z049398.1.p		PTHR34538,PTHR34538:SF3					AT1G11112.1		
42430063	Gohir.1Z049399	Gohir.1Z049399.1	Gohir.1Z049399.1.p	PF00329	PTHR10884,PTHR10884:SF9	KOG1713	1.6.99.5	K05581	GO:0055114,GO:0008137	ATCG00420.1		NADH dehydrogenase subunit J
42423431	Gohir.1Z049401	Gohir.1Z049401.1	Gohir.1Z049401.1.p	PF13812,PF13041,PF01535,PF14432	PTHR24015,PTHR24015:SF128					AT5G16860.1		Tetratricopeptide repeat (TPR)-like superfamily protein
42416742	Gohir.1Z049402	Gohir.1Z049402.1	Gohir.1Z049402.1.p	PF00361,PF01010	PTHR22773,PTHR22773:SF82	KOG4668	2.7.4.1			ATCG01010.1		NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein
42471576	Gohir.1Z049403	Gohir.1Z049403.1	Gohir.1Z049403.1.p	PF01348,PF01824	PTHR34811,PTHR34811:SF1				GO:0006397	ATCG00040.1		maturase K
42471605	Gohir.1Z049404	Gohir.1Z049404.1	Gohir.1Z049404.1.p	PF00295	PTHR31375,PTHR31375:SF37		3.2.1.15		GO:0005975,GO:0004650	AT3G07820.1		Pectin lyase-like superfamily protein
42423417	Gohir.1Z049405	Gohir.1Z049405.1	Gohir.1Z049405.1.p	PF13499	PTHR10891,PTHR10891:SF290					AT1G32250.1		Calcium-binding EF-hand family protein
42416736	Gohir.1Z049406	Gohir.1Z049406.1	Gohir.1Z049406.1.p	PF00515	PTHR10130				GO:0005515	AT5G56290.1	ATPEX5,PEX5	peroxin 5
42416713	Gohir.1Z049407	Gohir.1Z049407.1	Gohir.1Z049407.1.p		PTHR35548					AT5G64816.1		
42430074	Gohir.1Z049408	Gohir.1Z049408.1	Gohir.1Z049408.1.p		PTHR12849					AT4G31770.1	ATDBR1,DBR1	debranching enzyme 1
42467282	Gohir.1Z049409	Gohir.1Z049409.1	Gohir.1Z049409.1.p		PTHR36406,PTHR36406:SF1					AT5G63480.1		
42423445	Gohir.1Z049410	Gohir.1Z049410.1	Gohir.1Z049410.1.p	PF08704	PTHR12133,PTHR12133:SF2		2.1.1.220		GO:0031515,GO:0030488,GO:0016429	AT5G14600.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
42449394	Gohir.1Z049411	Gohir.1Z049411.1	Gohir.1Z049411.1.p	PF07189	PTHR20978,PTHR20978:SF0					AT4G14342.1		Splicing factor 3B subunit 5/RDS3 complex subunit 10
42427488	Gohir.1Z049412	Gohir.1Z049412.1	Gohir.1Z049412.1.p	PF00106	PTHR24322,PTHR24322:SF393	KOG1208	1.3.1.33	K00218	GO:0016491,GO:0008152	AT5G54190.1	PORA	protochlorophyllide oxidoreductase A
